Total_Trades,Directional_Accuracy_Pct,RMSE_Close,MAE_Close,filename
309,54.36893203883495,0.8031657905235136,0.6156248948378088,prediction_SOL_15min-model=kronos-mini-lookback=216-pred_len=1-temperature=0.9-top_p=0.94-sample_count=2.csv
309,54.36893203883495,0.8036869814830786,0.6287029476227477,prediction_SOL_15min-model=kronos-mini-lookback=216-pred_len=1-temperature=1.1-top_p=0.9-sample_count=2.csv
405,54.32098765432099,0.7571430237858465,0.5828490145761007,prediction_SOL_15min-model=kronos-mini-lookback=120-pred_len=1-temperature=1.0-top_p=0.9-sample_count=2.csv
501,54.091816367265466,0.7185712707985232,0.5488142244807264,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=1.2-top_p=0.96-sample_count=100.csv
309,54.0453074433657,0.694671303483246,0.5442697305920063,prediction_SOL_15min-model=kronos-mini-lookback=216-pred_len=1-temperature=0.8-top_p=1.0-sample_count=100.csv
309,54.0453074433657,0.8609712647967541,0.6581649983723948,prediction_SOL_15min-model=kronos-mini-lookback=216-pred_len=1-temperature=1.2-top_p=0.98-sample_count=2.csv
213,53.990610328638496,0.7074628679063549,0.5504191896823626,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=1.0-sample_count=100.csv
213,53.990610328638496,0.7098507295823462,0.5490372517330526,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.2-top_p=0.94-sample_count=100.csv
213,53.990610328638496,0.7109171128202266,0.553550659408927,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=0.94-sample_count=100.csv
213,53.990610328638496,0.7115963116752132,0.5521023570459201,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.9-top_p=0.94-sample_count=100.csv
213,53.990610328638496,0.722242472545726,0.5599379226039838,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.1-top_p=1.0-sample_count=100.csv
213,53.990610328638496,0.8105745673828793,0.625753833695531,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=0.94-sample_count=2.csv
213,53.990610328638496,0.8338449518103446,0.6502790662595365,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.8-top_p=1.0-sample_count=2.csv
213,53.990610328638496,0.843621695171524,0.6614021533661623,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=0.96-sample_count=2.csv
117,53.84615384615385,0.7611447904007397,0.6026816272702987,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.1-top_p=1.0-sample_count=100.csv
117,53.84615384615385,0.8773195855329382,0.6763349262987455,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.1-top_p=0.94-sample_count=2.csv
117,53.84615384615385,0.9081629732717651,0.7265762044270827,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.2-top_p=0.92-sample_count=2.csv
117,53.84615384615385,0.9807199200773666,0.7662335603632475,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.2-top_p=0.98-sample_count=2.csv
309,53.72168284789643,0.6866137639675989,0.5365863023677707,prediction_SOL_15min-model=kronos-mini-lookback=216-pred_len=1-temperature=1.1-top_p=0.98-sample_count=100.csv
501,53.69261477045908,0.7085990156384143,0.5385965769145302,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=0.8-top_p=1.0-sample_count=100.csv
501,53.69261477045908,0.7667630131239326,0.5737972386769434,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=0.9-top_p=0.96-sample_count=2.csv
213,53.52112676056338,0.7097700514107093,0.5552772081545236,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.1-top_p=0.96-sample_count=100.csv
213,53.52112676056338,0.709816201520612,0.5532435780699826,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.1-top_p=0.92-sample_count=100.csv
501,53.49301397205589,0.715765122894232,0.5443884957136512,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=1.0-top_p=0.96-sample_count=100.csv
501,53.49301397205589,0.7158459495924839,0.5429432663481633,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=1.1-top_p=0.92-sample_count=100.csv
501,53.49301397205589,0.7192267112768735,0.5464658715284281,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=1.2-top_p=0.98-sample_count=100.csv
501,53.293413173652695,0.7050192730209047,0.5382148791284618,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=0.9-top_p=0.96-sample_count=100.csv
501,53.293413173652695,0.7106644911921108,0.5413931395509757,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=0.9-top_p=1.0-sample_count=100.csv
501,53.293413173652695,0.8155677422035833,0.6142057233189872,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=1.1-top_p=1.0-sample_count=2.csv
501,53.093812375249506,0.750969928238747,0.5704241562285572,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=0.8-top_p=0.96-sample_count=2.csv
501,53.093812375249506,0.7709311726602857,0.5900531768494259,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=1.0-top_p=1.0-sample_count=2.csv
309,53.07443365695793,0.8241655271264291,0.6526131831196902,prediction_SOL_15min-model=kronos-mini-lookback=216-pred_len=1-temperature=1.1-top_p=0.98-sample_count=2.csv
213,53.051643192488264,0.6957640019810873,0.5411504172168426,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.2-top_p=0.98-sample_count=100.csv
213,53.051643192488264,0.7081652080181975,0.5502835225709692,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.2-top_p=0.9-sample_count=100.csv
213,53.051643192488264,0.714703925325555,0.5551845309978352,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=1.0-top_p=0.96-sample_count=100.csv
213,53.051643192488264,0.8061932234923935,0.6283988275518984,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.9-top_p=0.94-sample_count=2.csv
213,53.051643192488264,0.8389950628336085,0.6225873335717426,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.9-top_p=0.9-sample_count=2.csv
213,53.051643192488264,0.913364131629138,0.7099219062912615,prediction_SOL_15min-model=kronos-mini-lookback=312-pred_len=1-temperature=0.9-top_p=1.0-sample_count=2.csv
117,52.991452991452995,0.7667553365915019,0.6036635264339664,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.2-top_p=1.0-sample_count=100.csv
117,52.991452991452995,0.7831897586985559,0.6201190354567311,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.0-top_p=0.98-sample_count=100.csv
117,52.991452991452995,0.8543770721129959,0.6883638542501329,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=0.9-top_p=0.9-sample_count=2.csv
117,52.991452991452995,0.9066094261794032,0.6914346107939353,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=1.0-top_p=0.94-sample_count=2.csv
117,52.991452991452995,0.9192985932947301,0.7266132470285772,prediction_SOL_15min-model=kronos-mini-lookback=408-pred_len=1-temperature=0.8-top_p=0.9-sample_count=2.csv
501,52.8942115768463,0.7194440528791326,0.5493182806749781,prediction_SOL_15min-model=kronos-mini-lookback=24-pred_len=1-temperature=1.2-top_p=0.94-sample_count=100.csv
