timestamps,open,high,low,close,volume
2025-10-02 01:00:00,219.734,220.865,219.434,220.735,7900
2025-10-02 01:15:00,220.6976,221.535,220.203,221.104,9825
2025-10-02 01:30:00,221.105,222.375,221.104,222.264,12205
2025-10-02 01:45:00,222.284,222.955,222.194,222.715,17706
2025-10-02 02:00:00,222.775,223.2008,221.314,222.175,16708
2025-10-02 02:15:00,222.185,222.385,221.474,221.814,11455
2025-10-02 02:30:00,221.884,223.839,221.765,223.555,17541
2025-10-02 02:45:00,223.535,224.026,222.564,223.194,19080
2025-10-02 03:00:00,223.205,223.905,222.764,223.704,12397
2025-10-02 03:15:00,223.7017,223.9594,223.144,223.845,12645
2025-10-02 03:30:00,223.844,224.99,223.844,224.514,30349
2025-10-02 03:45:00,224.514,224.514,223.422,223.735,19134
2025-10-02 04:00:00,223.725,224.875,223.234,224.8,19353
2025-10-02 04:15:00,224.811,224.845,223.254,223.305,17218
2025-10-02 04:30:00,223.305,223.415,222.623,223.404,20654
2025-10-02 04:45:00,223.435,223.766,223.0,223.655,11295
2025-10-02 05:00:00,223.75,224.157,223.714,223.815,11179
2025-10-02 05:15:00,223.865,226.716,223.764,225.875,35574
2025-10-02 05:30:00,225.886,226.076,224.172,224.414,27865
2025-10-02 05:45:00,224.374,224.485,223.761,224.044,13687
2025-10-02 06:00:00,224.015,224.265,223.594,223.745,11960
2025-10-02 06:15:00,223.774,224.205,223.453,223.985,12869
2025-10-02 06:30:00,223.974,225.705,223.864,225.236,32899
2025-10-02 06:45:00,225.225,225.246,224.504,224.865,13248
2025-10-02 07:00:00,224.794,225.135,224.414,224.644,12879
2025-10-02 07:15:00,224.655,224.85,223.744,224.025,14108
2025-10-02 07:30:00,224.025,224.105,223.154,223.245,14852
2025-10-02 07:45:00,223.214,223.535,222.3561,222.865,23301
2025-10-02 08:00:00,222.854,223.345,222.604,222.905,15325
2025-10-02 08:15:00,222.905,223.965,222.894,223.91,19893
2025-10-02 08:30:00,223.915,224.425,223.5668,224.364,18447
2025-10-02 08:45:00,224.414,224.655,224.254,224.655,10231
2025-10-02 09:00:00,224.645,224.645,223.92,224.074,12612
2025-10-02 09:15:00,224.095,225.666,224.095,225.0985,21305
2025-10-02 09:30:00,225.0985,225.15,224.364,224.785,10574
2025-10-02 09:45:00,224.795,225.276,224.732,225.065,12688
2025-10-02 10:00:00,225.075,225.396,224.724,225.175,20161
2025-10-02 10:15:00,225.2,225.346,224.75,224.815,10060
2025-10-02 10:30:00,224.815,225.646,224.774,225.216,19007
2025-10-02 10:45:00,225.25,225.406,224.9,225.025,9706
2025-10-02 11:00:00,225.014,225.385,224.653,225.0,16628
2025-10-02 11:15:00,224.904,225.436,224.783,225.165,8378
2025-10-02 11:30:00,225.2199,225.556,225.105,225.525,11795
2025-10-02 11:45:00,225.535,226.546,225.055,225.166,37831
2025-10-02 12:00:00,225.166,226.436,224.884,225.985,17876
2025-10-02 12:15:00,226.006,226.346,225.875,226.035,13393
2025-10-02 12:30:00,226.156,226.816,225.756,226.585,30262
2025-10-02 12:45:00,226.585,227.296,226.2098,227.175,33700
2025-10-02 13:00:00,227.175,227.336,225.703,225.716,36086
2025-10-02 13:15:00,225.706,226.0627,224.554,225.645,49401
2025-10-02 13:30:00,225.655,226.256,225.042,225.6,18985
2025-10-02 13:45:00,225.576,226.8304,225.516,226.385,21892
2025-10-02 14:00:00,226.386,226.625,225.003,225.456,22420
2025-10-02 14:15:00,225.445,226.247,225.082,226.186,15111
2025-10-02 14:30:00,226.186,226.626,224.244,224.425,31943
2025-10-02 14:45:00,224.395,224.877,223.044,223.544,39944
2025-10-02 15:00:00,223.544,225.256,222.585,224.984,68358
2025-10-02 15:15:00,224.995,226.342,224.654,226.066,35143
2025-10-02 15:30:00,226.086,226.496,224.894,226.227,27227
2025-10-02 15:45:00,226.236,227.24,225.935,227.133,30489
2025-10-02 16:00:00,227.146,229.246,226.718,228.436,68096
2025-10-02 16:15:00,228.396,228.7,227.724,228.025,28313
2025-10-02 16:30:00,228.035,228.346,226.168,226.835,30439
2025-10-02 16:45:00,226.835,228.066,226.785,227.895,20790
2025-10-02 17:00:00,227.9,228.6539,227.302,228.565,20096
2025-10-02 17:15:00,228.565,229.1689,227.835,228.946,24039
2025-10-02 17:30:00,228.9501,230.247,228.714,229.636,40656
2025-10-02 17:45:00,229.636,230.207,229.345,229.715,19741
2025-10-02 18:00:00,229.716,231.627,229.638,230.987,49390
2025-10-02 18:15:00,230.987,231.716,230.5,231.647,19463
2025-10-02 18:30:00,231.686,231.937,231.066,231.586,18030
2025-10-02 18:45:00,231.566,233.096,231.437,232.237,35199
2025-10-02 19:00:00,232.216,233.669,231.796,233.616,32911
2025-10-02 19:15:00,233.607,233.607,231.866,232.017,19977
2025-10-02 19:30:00,232.007,232.287,231.434,232.247,17580
2025-10-02 19:45:00,232.277,233.037,231.794,232.166,15800
2025-10-02 20:00:00,232.257,232.447,231.687,232.237,7744
2025-10-02 20:15:00,232.237,232.25,231.104,231.476,12029
2025-10-02 20:30:00,231.466,232.107,230.716,232.066,12194
2025-10-02 20:45:00,232.077,232.527,231.586,232.527,6010
2025-10-02 21:00:00,232.547,233.788,232.316,233.636,10716
2025-10-02 21:15:00,233.6471,233.87,232.716,233.196,6909
2025-10-02 21:30:00,233.216,233.227,232.466,232.536,5340
2025-10-02 21:45:00,232.5,233.25,232.476,232.516,3620
2025-10-02 22:00:00,232.5,233.817,232.4626,233.336,5122
2025-10-02 22:15:00,233.347,233.386,232.025,232.686,5632
2025-10-02 22:30:00,232.736,233.101,232.376,232.516,1864
2025-10-02 22:45:00,232.556,232.998,232.286,232.997,2556
2025-10-02 23:00:00,233.0,233.767,232.846,233.505,5119
2025-10-02 23:15:00,233.486,234.6,233.377,234.106,9455
2025-10-02 23:30:00,234.147,234.6842,233.766,234.026,4350
2025-10-02 23:45:00,233.966,234.9318,233.626,234.647,6999
2025-10-03 00:00:00,234.7,234.71,232.4,232.896,9205
2025-10-03 00:15:00,232.887,233.51,232.806,233.447,2966
2025-10-03 00:30:00,233.43,233.437,232.15,232.317,5626
2025-10-03 00:45:00,232.266,232.55,231.786,231.837,8088
2025-10-03 01:00:00,231.856,232.667,231.736,231.917,7155
2025-10-03 01:15:00,231.936,232.167,230.816,231.397,12066
2025-10-03 01:30:00,231.367,231.847,231.196,231.366,5908
2025-10-03 01:45:00,231.366,231.627,230.466,230.917,10613
2025-10-03 02:00:00,230.856,231.927,230.741,231.927,8260
2025-10-03 02:15:00,231.916,232.196,231.216,231.266,11696
2025-10-03 02:30:00,231.266,232.097,231.156,231.937,7820
2025-10-03 02:45:00,231.937,233.347,231.646,233.226,17708
2025-10-03 03:00:00,233.227,234.8,232.987,233.677,26743
2025-10-03 03:15:00,233.6,234.25,232.716,232.917,19598
2025-10-03 03:30:00,232.937,233.387,232.616,232.846,8215
2025-10-03 03:45:00,232.846,233.527,231.966,232.197,14179
2025-10-03 04:00:00,232.197,232.7,231.885,232.7,11305
2025-10-03 04:15:00,232.7,233.167,232.605,232.866,8023
2025-10-03 04:30:00,232.867,232.867,231.2,231.846,16947
2025-10-03 04:45:00,231.797,232.017,231.326,231.99,8306
2025-10-03 05:00:00,232.017,232.127,230.973,231.377,12093
2025-10-03 05:15:00,231.336,231.4,230.936,230.987,7980
2025-10-03 05:30:00,230.966,231.2366,230.254,230.357,23478
2025-10-03 05:45:00,230.357,231.417,230.275,231.127,19628
2025-10-03 06:00:00,231.116,231.3901,230.816,231.076,8339
2025-10-03 06:15:00,231.027,231.497,230.9795,231.167,11090
2025-10-03 06:30:00,231.196,231.317,230.666,230.766,7454
2025-10-03 06:45:00,230.65,230.65,227.775,229.285,53380
2025-10-03 07:00:00,229.295,229.616,228.805,229.3,18935
2025-10-03 07:15:00,229.295,229.676,228.685,228.786,11436
2025-10-03 07:30:00,228.775,229.208,228.635,228.665,9057
2025-10-03 07:45:00,228.65,229.476,228.545,229.376,10904
2025-10-03 08:00:00,229.396,229.636,228.8,228.856,18011
2025-10-03 08:15:00,228.836,229.356,227.855,229.356,32829
2025-10-03 08:30:00,229.356,230.377,229.166,230.227,23788
2025-10-03 08:45:00,230.196,231.172,230.096,230.977,25308
2025-10-03 09:00:00,230.946,231.4,230.686,230.846,26876
2025-10-03 09:15:00,230.897,231.727,230.636,231.638,26716
2025-10-03 09:30:00,231.67,231.707,230.596,230.777,14577
2025-10-03 09:45:00,230.786,231.132,230.716,230.867,8598
2025-10-03 10:00:00,230.807,230.827,230.316,230.646,16341
2025-10-03 10:15:00,230.657,230.967,230.455,230.926,11029
2025-10-03 10:30:00,230.937,231.357,230.726,231.198,15033
2025-10-03 10:45:00,231.187,231.596,231.146,231.196,9132
2025-10-03 11:00:00,231.197,231.25,230.066,230.166,21014
2025-10-03 11:15:00,230.166,230.5,229.485,230.357,25087
2025-10-03 11:30:00,230.35,230.9132,229.875,230.767,15070
2025-10-03 11:45:00,230.756,231.227,230.436,230.717,7567
2025-10-03 12:00:00,230.736,230.82,230.136,230.796,11065
2025-10-03 12:15:00,230.807,231.198,229.8,229.806,12471
2025-10-03 12:30:00,229.8,230.897,229.675,230.026,12609
2025-10-03 12:45:00,230.026,230.487,229.745,230.0,8204
2025-10-03 13:00:00,229.9337,229.9337,228.645,228.945,29818
2025-10-03 13:15:00,228.945,230.607,228.865,230.406,22501
2025-10-03 13:30:00,230.416,231.018,229.235,229.735,22716
2025-10-03 13:45:00,229.6,230.377,229.6,229.676,10338
2025-10-03 14:00:00,229.6,229.616,228.056,228.356,41614
2025-10-03 14:15:00,228.336,229.347,227.106,229.186,54601
2025-10-03 14:30:00,229.116,229.626,228.5326,229.285,18097
2025-10-03 14:45:00,229.3,230.9734,229.3,230.426,35759
2025-10-03 15:00:00,230.4,230.4,229.435,229.745,17469
2025-10-03 15:15:00,229.86,232.147,229.86,231.157,44110
2025-10-03 15:30:00,231.186,233.837,231.166,233.427,52916
2025-10-03 15:45:00,233.436,234.925,233.0,234.676,51099
2025-10-03 16:00:00,234.706,236.497,234.706,235.187,65918
2025-10-03 16:15:00,235.198,235.868,233.931,235.418,45188
2025-10-03 16:30:00,235.318,236.888,234.906,236.888,36971
2025-10-03 16:45:00,236.888,236.929,233.655,233.864,38786
2025-10-03 17:00:00,233.806,233.96,228.216,233.417,94490
2025-10-03 17:15:00,233.417,233.447,231.217,231.897,36081
2025-10-03 17:30:00,231.8451,232.937,231.051,232.267,27690
2025-10-03 17:45:00,232.29,232.346,229.544,229.976,46734
2025-10-03 18:00:00,230.046,230.897,229.021,230.737,30546
2025-10-03 18:15:00,230.747,233.137,230.656,232.977,31325
2025-10-03 18:30:00,233.017,233.327,232.176,232.597,19438
2025-10-03 18:45:00,232.566,233.599,232.386,233.576,15861
2025-10-03 19:00:00,233.597,233.697,232.716,233.066,7734
2025-10-03 19:15:00,233.086,234.747,233.086,234.616,18490
2025-10-03 19:30:00,234.65,235.478,234.186,234.296,18594
2025-10-03 19:45:00,234.167,234.167,232.896,233.056,17336
2025-10-03 20:00:00,233.036,233.036,230.661,231.866,24506
2025-10-03 20:15:00,231.866,232.987,231.805,232.406,10623
2025-10-03 20:30:00,232.5,233.268,232.466,233.257,5766
2025-10-03 20:45:00,233.256,233.387,232.576,232.896,5173
2025-10-03 21:00:00,232.957,233.367,232.746,233.146,3129
2025-10-03 21:15:00,233.2,233.236,232.626,233.056,2198
2025-10-03 21:30:00,232.996,233.207,231.845,232.317,9059
2025-10-03 21:45:00,232.336,232.807,231.836,232.586,5273
2025-10-03 22:00:00,232.727,232.957,232.645,232.897,2875
2025-10-03 22:15:00,232.877,233.947,232.615,233.396,4942
2025-10-03 22:30:00,233.477,233.757,233.116,233.116,1919
2025-10-03 22:45:00,233.147,233.407,232.846,233.106,1505
2025-10-03 23:00:00,233.157,233.157,232.455,232.546,2689
2025-10-03 23:15:00,232.566,233.237,232.516,232.766,2430
2025-10-03 23:30:00,232.75,233.427,232.326,233.136,1807
2025-10-03 23:45:00,233.196,233.357,232.616,232.7022,1604
2025-10-04 00:00:00,232.796,233.817,232.716,233.597,2633
2025-10-04 00:15:00,233.466,234.0,232.367,232.367,4610
